ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,125935,1961,100,84,67,5845893.9,7871.8
Multifamily Housing,76700,1930,100,7,100.8,1514761.3,5361.3
Multifamily Housing,68294,1910,100,85,40.7,1109737.5,1078.7
Multifamily Housing,210644,1962,95,92,64.7,12298700.1,7063.1
Multifamily Housing,93517,1987,100,44,83.8,5024659.3,4432.4
Multifamily Housing,92998,1962,100,62,59.2,3361100.3,2993.7
Multifamily Housing,101602,1985,100,18,86.9,4718112.7,3680.9
Multifamily Housing,148935,1910,100,57,81.5,296811.9,4145.7
Multifamily Housing,79065,1939,100,53,72,3373730.1,3652
Multifamily Housing,267542,1963,100,100,21.2,1002918.8,9513
Hotel,107990,2003,100,5,159.6,10657483.7,14024.5
Multifamily Housing,51200,1930,100,24,82.6,2903699.7,2022.8
Multifamily Housing,149324,1902,100,80,60,6616696.8,4412.6
Multifamily Housing,53500,1900,100,58,64,2244099.8,1718.8
Multifamily Housing,71000,1950,100,92,66,3518903.9,3046.8
Multifamily Housing,165435,1964,100,82,72.7,748693.4,7621.5
Multifamily Housing,60000,1961,100,55,76.3,3113776.6,2093.3
Multifamily Housing,66871,2004,100,4,145.1,7422680.9,1695.6
Multifamily Housing,69755,1930,100,18,56.5,2493487.4,1573.2
Multifamily Housing,72640,1920,100,95,41.1,1884837.1,1520
Multifamily Housing,595669,1895,100,80,63.6,31011583.4,16620
Multifamily Housing,100320,1939,100,68,56.3,3275053,3715.3
Multifamily Housing,71549,2003,100,45,82,4234223.5,2259.9
Multifamily Housing,210440,2009,100,9,74.3,7045730.8,3909.4
Multifamily Housing,50820,1916,100,63,68.7,2063961.3,953
Multifamily Housing,358600,1985,100,48,55.9,9315246.3,15469
Office,95375,1905,100,83,53.6,1484958,2722.9
Office,51744,2008,100,72,63.3,752280.2,409
Office,62743,1900,80,26,138.1,2892932.3,7524
Office,105407,2010,100,71,77.6,2888577.2,118.7
Hotel,43018,1910,100,1,244,6665693.4,12821.5
Non-Refrigerated Warehouse,221200,1890,50,13,36.9,2464000.6,765.5
Office,564733,1914,100,1,254.4,19234768,13242
Office,152691,2007,100,49,128.8,9441093.4,4012.8
Multifamily Housing,58700,2007,100,2,73.5,1957376.7,1645.7
Non-Refrigerated Warehouse,94622,1913,100,9,50.1,0,302.6
Multifamily Housing,103395,2011,100,75,62.6,3427639.7,2510.8
Multifamily Housing,253249,2005,90,25,99.6,17024387.1,9832.4
Multifamily Housing,53455,2004,100,56,67,2059000.2,870.9
K-12 School,214783,1928,80,67,75.7,6542200.2,2490.3
Office,78080,2005,100,48,67.4,1764939.9,1555.9
Office,174186,1911,100,81,67.4,15258.4,1335.8
Multifamily Housing,101000,2008,100,92,49.4,3539753.2,5190.7
Multifamily Housing,112351,2009,100,89,33.7,1342623.7,2455.9
Multifamily Housing,118340,2013,100,94,48.9,3786608.9,4359.6
Office,260086,1915,100,91,54.6,4381632.3,3931
Office,51845,1929,100,35,179.9,2212424.7,417
Office,262969,1936,95,75,110.3,0,6617.4
Office,36092,1923,100,22,124.3,862343.6,286826.5
Office,71613,2016,5,99,26.9,1163825,59.1
Multifamily Housing,50652,2005,100,33,63,1206323.3,1427.4
Multifamily Housing,76624,2007,100,34,62.8,2108255,2065.2
Multifamily Housing,56876,2008,100,2,113.4,4076099.7,1175.9
Multifamily Housing,70000,2014,100,31,54.2,1491796.9,1328.5
Multifamily Housing,65235,1925,100,49,95.9,5344893.7,3162.9
Multifamily Housing,58394,1999,100,67,54.2,1447889,2107.3
Multifamily Housing,950200,1934,100,72,73.3,54429530.2,27375.3
Multifamily Housing,95844,1914,100,19,60.9,2677243.4,3344.3
Office,1557252,1968,80,62,76.2,1380875.5,27522.5
Office,515000,1927,100,62,100.5,20522860.3,7465.6
Multifamily Housing,110570,1963,100,83,98.8,376525.5,5913.9
Multifamily Housing,119194,1928,95,67,81.4,281733.3,5627.5
Multifamily Housing,97857,1929,100,60,92,6866074,4227.1
Multifamily Housing,142971,1930,100,62,89.6,9967597,9834.6
Multifamily Housing,66000,1989,100,41,87.9,4086902.9,4198.8
Multifamily Housing,221989,2003,100,60,71.3,9973657.4,10445.8
Multifamily Housing,415856,2009,100,37,82.6,22684454.8,16226
Multifamily Housing,86609,2012,100,62,102.9,5210157.3,5062.8
Multifamily Housing,153392,2008,100,14,61,2768220.3,9392.2
Multifamily Housing,125914,1942,100,82,54,4559819.7,4808.1
Multifamily Housing,70038,2013,100,100,23.8,787710.5,967.2
Multifamily Housing,75271,2008,100,1,112.4,2277599.7,1970
Multifamily Housing,52706,1938,100,62,80,3729357.1,2578.5
Multifamily Housing,55332,1950,100,83,68.3,110500,1493.1
Multifamily Housing,77712,1918,100,49,89.5,246832.3,4242.2
Multifamily Housing,64517,1928,100,57,89.8,3974223.2,3409.6
Multifamily Housing,110000,1906,100,98,29.1,372600,3266
Multifamily Housing,197396,1960,100,63,110.7,17270472.5,29815.1
Multifamily Housing,206470,1960,100,90,82.5,12239001.7,105754.1
Multifamily Housing,70677,1964,100,85,60.2,3183506.6,2061.5
Office,377064,1931,100,88,62.1,7554332.8,8396.9
Office,637285,1916,100,82,81.2,139266.7,8227.3
Office,719230,1925,100,98,37.4,51270.3,6369.7
Hotel,742596,1929,100,76,82.2,59294000.6,72005.4
Office,286362,1954,100,57,87.5,4874018.1,5658.3
